group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Classes,,,,,51448033.0,ns,15
Classes,,,,,51780292.0,ns,15
Classes,,,,,54204402.0,ns,15
Classes,,,,,54043251.0,ns,15
Classes,,,,,53779331.0,ns,15
Classes,,,,,53732815.0,ns,15
Classes,,,,,53642833.0,ns,15
Classes,,,,,52603002.0,ns,15
Classes,,,,,53120833.0,ns,15
Classes,,,,,51982866.0,ns,15
Classes,,,,,51764344.0,ns,15
Classes,,,,,51718156.0,ns,15
Classes,,,,,54374936.0,ns,15
Classes,,,,,54856346.0,ns,15
Classes,,,,,52147724.0,ns,15
Classes,,,,,53038912.0,ns,15
Classes,,,,,54378920.0,ns,15
Classes,,,,,54948647.0,ns,15
Classes,,,,,53553875.0,ns,15
Classes,,,,,53901073.0,ns,15
Classes,,,,,53899608.0,ns,15
Classes,,,,,54990529.0,ns,15
Classes,,,,,53493231.0,ns,15
Classes,,,,,54737611.0,ns,15
Classes,,,,,52112735.0,ns,15
Classes,,,,,51237905.0,ns,15
Classes,,,,,53344315.0,ns,15
Classes,,,,,52272703.0,ns,15
Classes,,,,,52282085.0,ns,15
Classes,,,,,52529112.0,ns,15
Classes,,,,,51557183.0,ns,15
Classes,,,,,51734518.0,ns,15
Classes,,,,,51611420.0,ns,15
Classes,,,,,52385855.0,ns,15
Classes,,,,,51726536.0,ns,15
Classes,,,,,52275163.0,ns,15
Classes,,,,,52426314.0,ns,15
Classes,,,,,53318875.0,ns,15
Classes,,,,,54119097.0,ns,15
Classes,,,,,53772231.0,ns,15
Classes,,,,,53043712.0,ns,15
Classes,,,,,53901468.0,ns,15
Classes,,,,,53275158.0,ns,15
Classes,,,,,54635199.0,ns,15
Classes,,,,,52561363.0,ns,15
Classes,,,,,52729127.0,ns,15
Classes,,,,,52060376.0,ns,15
Classes,,,,,50256007.0,ns,15
Classes,,,,,51225868.0,ns,15
Classes,,,,,50744603.0,ns,15
Classes,,,,,55716877.0,ns,15
Classes,,,,,51198410.0,ns,15
Classes,,,,,51291245.0,ns,15
Classes,,,,,51136801.0,ns,15
Classes,,,,,57602986.0,ns,15
Classes,,,,,51330320.0,ns,15
Classes,,,,,51264258.0,ns,15
Classes,,,,,53148281.0,ns,15
Classes,,,,,54113623.0,ns,15
Classes,,,,,53915030.0,ns,15
Classes,,,,,53188960.0,ns,15
Classes,,,,,53923878.0,ns,15
Classes,,,,,54423835.0,ns,15
Classes,,,,,52596133.0,ns,15
Classes,,,,,52929232.0,ns,15
Classes,,,,,51651488.0,ns,15
Classes,,,,,52263045.0,ns,15
Classes,,,,,52965717.0,ns,15
Classes,,,,,53732138.0,ns,15
Classes,,,,,52599497.0,ns,15
Classes,,,,,53310296.0,ns,15
Classes,,,,,55322728.0,ns,15
Classes,,,,,54903196.0,ns,15
Classes,,,,,54867037.0,ns,15
Classes,,,,,55121652.0,ns,15
Classes,,,,,53341402.0,ns,15
Classes,,,,,53982818.0,ns,15
Classes,,,,,52480532.0,ns,15
Classes,,,,,52900880.0,ns,15
Classes,,,,,53575293.0,ns,15
Classes,,,,,53466928.0,ns,15
Classes,,,,,54701940.0,ns,15
Classes,,,,,55895278.0,ns,15
Classes,,,,,55145971.0,ns,15
Classes,,,,,55448974.0,ns,15
Classes,,,,,55061652.0,ns,15
Classes,,,,,55563698.0,ns,15
Classes,,,,,54678446.0,ns,15
Classes,,,,,54195012.0,ns,15
Classes,,,,,52853257.0,ns,15
Classes,,,,,54521838.0,ns,15
Classes,,,,,56281112.0,ns,15
Classes,,,,,54750848.0,ns,15
Classes,,,,,54310086.0,ns,15
Classes,,,,,53791218.0,ns,15
Classes,,,,,53188746.0,ns,15
Classes,,,,,53559664.0,ns,15
Classes,,,,,54729796.0,ns,15
Classes,,,,,54514124.0,ns,15
Classes,,,,,54295775.0,ns,15
