group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Classes,,,,,51390701.0,ns,9
Classes,,,,,51698901.0,ns,9
Classes,,,,,51378201.0,ns,9
Classes,,,,,51460100.0,ns,9
Classes,,,,,51222701.0,ns,9
Classes,,,,,51740101.0,ns,9
Classes,,,,,52189401.0,ns,9
Classes,,,,,53229001.0,ns,9
Classes,,,,,51605201.0,ns,9
Classes,,,,,51377501.0,ns,9
Classes,,,,,51188701.0,ns,9
Classes,,,,,54216001.0,ns,9
Classes,,,,,51263701.0,ns,9
Classes,,,,,51582901.0,ns,9
Classes,,,,,51879801.0,ns,9
Classes,,,,,52107001.0,ns,9
Classes,,,,,51747401.0,ns,9
Classes,,,,,52437501.0,ns,9
Classes,,,,,51333201.0,ns,9
Classes,,,,,52141501.0,ns,9
Classes,,,,,51487101.0,ns,9
Classes,,,,,52442601.0,ns,9
Classes,,,,,51105201.0,ns,9
Classes,,,,,52691201.0,ns,9
Classes,,,,,51531901.0,ns,9
Classes,,,,,52547801.0,ns,9
Classes,,,,,55275901.0,ns,9
Classes,,,,,52636801.0,ns,9
Classes,,,,,52163101.0,ns,9
Classes,,,,,52332501.0,ns,9
Classes,,,,,54100901.0,ns,9
Classes,,,,,52826101.0,ns,9
Classes,,,,,53084201.0,ns,9
Classes,,,,,51077801.0,ns,9
Classes,,,,,51937001.0,ns,9
Classes,,,,,51256101.0,ns,9
Classes,,,,,53117001.0,ns,9
Classes,,,,,51800501.0,ns,9
Classes,,,,,51454601.0,ns,9
Classes,,,,,51033801.0,ns,9
Classes,,,,,51635301.0,ns,9
Classes,,,,,52717501.0,ns,9
Classes,,,,,56105901.0,ns,9
Classes,,,,,52656601.0,ns,9
Classes,,,,,52190601.0,ns,9
Classes,,,,,52435601.0,ns,9
Classes,,,,,52876101.0,ns,9
Classes,,,,,51465001.0,ns,9
Classes,,,,,54775601.0,ns,9
Classes,,,,,55173001.0,ns,9
Classes,,,,,52359201.0,ns,9
Classes,,,,,52614701.0,ns,9
Classes,,,,,51734801.0,ns,9
Classes,,,,,52612201.0,ns,9
Classes,,,,,52244301.0,ns,9
Classes,,,,,52341199.0,ns,9
Classes,,,,,52770500.0,ns,9
Classes,,,,,51838799.0,ns,9
Classes,,,,,51611600.0,ns,9
Classes,,,,,52298900.0,ns,9
Classes,,,,,53283199.0,ns,9
Classes,,,,,54802700.0,ns,9
Classes,,,,,52206400.0,ns,9
Classes,,,,,53325399.0,ns,9
Classes,,,,,52239900.0,ns,9
Classes,,,,,52443699.0,ns,9
Classes,,,,,52125300.0,ns,9
Classes,,,,,52845800.0,ns,9
Classes,,,,,57450499.0,ns,9
Classes,,,,,53255400.0,ns,9
Classes,,,,,51907199.0,ns,9
Classes,,,,,53038400.0,ns,9
Classes,,,,,51947500.0,ns,9
Classes,,,,,53097099.0,ns,9
Classes,,,,,52712600.0,ns,9
Classes,,,,,52761099.0,ns,9
Classes,,,,,52545800.0,ns,9
Classes,,,,,52851300.0,ns,9
Classes,,,,,54280399.0,ns,9
Classes,,,,,52965900.0,ns,9
Classes,,,,,53001200.0,ns,9
Classes,,,,,52244399.0,ns,9
Classes,,,,,53243800.0,ns,9
Classes,,,,,52987599.0,ns,9
Classes,,,,,57466300.0,ns,9
Classes,,,,,53246800.0,ns,9
Classes,,,,,54043799.0,ns,9
Classes,,,,,52374800.0,ns,9
Classes,,,,,55432399.0,ns,9
Classes,,,,,52125600.0,ns,9
Classes,,,,,52279700.0,ns,9
Classes,,,,,52186099.0,ns,9
Classes,,,,,52813200.0,ns,9
Classes,,,,,53309299.0,ns,9
Classes,,,,,57940900.0,ns,9
Classes,,,,,54802000.0,ns,9
Classes,,,,,52254999.0,ns,9
Classes,,,,,52261400.0,ns,9
Classes,,,,,52538300.0,ns,9
Classes,,,,,53579999.0,ns,9
