group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Classes,,,,,57203467.0,ns,8
Classes,,,,,57088532.0,ns,8
Classes,,,,,56838417.0,ns,8
Classes,,,,,56775913.0,ns,8
Classes,,,,,57356849.0,ns,8
Classes,,,,,56895721.0,ns,8
Classes,,,,,57013327.0,ns,8
Classes,,,,,56784814.0,ns,8
Classes,,,,,56795013.0,ns,8
Classes,,,,,56783813.0,ns,8
Classes,,,,,56857617.0,ns,8
Classes,,,,,57290445.0,ns,8
Classes,,,,,55867855.0,ns,8
Classes,,,,,54508568.0,ns,8
Classes,,,,,55882256.0,ns,8
Classes,,,,,56464393.0,ns,8
Classes,,,,,56382287.0,ns,8
Classes,,,,,56601202.0,ns,8
Classes,,,,,58143400.0,ns,8
Classes,,,,,58117097.0,ns,8
Classes,,,,,57725073.0,ns,8
Classes,,,,,57167437.0,ns,8
Classes,,,,,57198540.0,ns,8
Classes,,,,,56524196.0,ns,8
Classes,,,,,57229942.0,ns,8
Classes,,,,,56628603.0,ns,8
Classes,,,,,56774113.0,ns,8
Classes,,,,,56759011.0,ns,8
Classes,,,,,56920222.0,ns,8
Classes,,,,,56720409.0,ns,8
Classes,,,,,56309683.0,ns,8
Classes,,,,,56455092.0,ns,8
Classes,,,,,55919258.0,ns,8
Classes,,,,,56053566.0,ns,8
Classes,,,,,55822652.0,ns,8
Classes,,,,,55404526.0,ns,8
Classes,,,,,56228778.0,ns,8
Classes,,,,,56486994.0,ns,8
Classes,,,,,57186939.0,ns,8
Classes,,,,,57178538.0,ns,8
Classes,,,,,57117200.0,ns,8
Classes,,,,,56833815.0,ns,8
Classes,,,,,56835215.0,ns,8
Classes,,,,,56979123.0,ns,8
Classes,,,,,56856316.0,ns,8
Classes,,,,,57570061.0,ns,8
Classes,,,,,57857078.0,ns,8
Classes,,,,,57060128.0,ns,8
Classes,,,,,57332446.0,ns,8
Classes,,,,,57069529.0,ns,8
Classes,,,,,56675805.0,ns,8
Classes,,,,,56750909.0,ns,8
Classes,,,,,57025527.0,ns,8
Classes,,,,,56835115.0,ns,8
Classes,,,,,56795712.0,ns,8
Classes,,,,,56542697.0,ns,8
Classes,,,,,56815613.0,ns,8
Classes,,,,,56729908.0,ns,8
Classes,,,,,56700606.0,ns,8
Classes,,,,,56907619.0,ns,8
Classes,,,,,56824514.0,ns,8
Classes,,,,,56595800.0,ns,8
Classes,,,,,56956022.0,ns,8
Classes,,,,,56946521.0,ns,8
Classes,,,,,57064629.0,ns,8
Classes,,,,,56960823.0,ns,8
Classes,,,,,56979123.0,ns,8
Classes,,,,,57400750.0,ns,8
Classes,,,,,57093431.0,ns,8
Classes,,,,,56861316.0,ns,8
Classes,,,,,57661266.0,ns,8
Classes,,,,,56779511.0,ns,8
Classes,,,,,56933421.0,ns,8
Classes,,,,,56884918.0,ns,8
Classes,,,,,56693506.0,ns,8
Classes,,,,,56876917.0,ns,8
Classes,,,,,56544097.0,ns,8
Classes,,,,,56320183.0,ns,8
Classes,,,,,56537396.0,ns,8
Classes,,,,,56575699.0,ns,8
Classes,,,,,56487893.0,ns,8
Classes,,,,,56726108.0,ns,8
Classes,,,,,56723008.0,ns,8
Classes,,,,,57071130.0,ns,8
Classes,,,,,56884517.0,ns,8
Classes,,,,,57386549.0,ns,8
Classes,,,,,56353985.0,ns,8
Classes,,,,,56619602.0,ns,8
Classes,,,,,56162773.0,ns,8
Classes,,,,,56592000.0,ns,8
Classes,,,,,56180574.0,ns,8
Classes,,,,,56222077.0,ns,8
Classes,,,,,56579699.0,ns,8
Classes,,,,,56283780.0,ns,8
Classes,,,,,56410689.0,ns,8
Classes,,,,,56451091.0,ns,8
Classes,,,,,56095369.0,ns,8
Classes,,,,,56007663.0,ns,8
Classes,,,,,56286080.0,ns,8
Classes,,,,,56747810.0,ns,8
