group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Classes,,,,,49212842.0,ns,7
Classes,,,,,48817939.0,ns,7
Classes,,,,,49190041.0,ns,7
Classes,,,,,48883540.0,ns,7
Classes,,,,,49657845.0,ns,7
Classes,,,,,50324650.0,ns,7
Classes,,,,,49756045.0,ns,7
Classes,,,,,49982247.0,ns,7
Classes,,,,,48747639.0,ns,7
Classes,,,,,50947654.0,ns,7
Classes,,,,,49956747.0,ns,7
Classes,,,,,50619952.0,ns,7
Classes,,,,,50341849.0,ns,7
Classes,,,,,50949254.0,ns,7
Classes,,,,,49652445.0,ns,7
Classes,,,,,49186242.0,ns,7
Classes,,,,,49346343.0,ns,7
Classes,,,,,50114248.0,ns,7
Classes,,,,,46761125.0,ns,7
Classes,,,,,47693131.0,ns,7
Classes,,,,,48117034.0,ns,7
Classes,,,,,47316629.0,ns,7
Classes,,,,,49308042.0,ns,7
Classes,,,,,49504144.0,ns,7
Classes,,,,,50719453.0,ns,7
Classes,,,,,49998947.0,ns,7
Classes,,,,,49350943.0,ns,7
Classes,,,,,49423143.0,ns,7
Classes,,,,,49535744.0,ns,7
Classes,,,,,50859653.0,ns,7
Classes,,,,,51557859.0,ns,7
Classes,,,,,51215555.0,ns,7
Classes,,,,,50641652.0,ns,7
Classes,,,,,51357857.0,ns,7
Classes,,,,,51182655.0,ns,7
Classes,,,,,49216042.0,ns,7
Classes,,,,,47713632.0,ns,7
Classes,,,,,48896739.0,ns,7
Classes,,,,,50444751.0,ns,7
Classes,,,,,49809446.0,ns,7
Classes,,,,,48970840.0,ns,7
Classes,,,,,48958340.0,ns,7
Classes,,,,,48983440.0,ns,7
Classes,,,,,49248242.0,ns,7
Classes,,,,,49589745.0,ns,7
Classes,,,,,50099848.0,ns,7
Classes,,,,,49353343.0,ns,7
Classes,,,,,50276149.0,ns,7
Classes,,,,,48649538.0,ns,7
Classes,,,,,47213428.0,ns,7
Classes,,,,,49152541.0,ns,7
Classes,,,,,48292636.0,ns,7
Classes,,,,,48616338.0,ns,7
Classes,,,,,47768031.0,ns,7
Classes,,,,,48615938.0,ns,7
Classes,,,,,47871133.0,ns,7
Classes,,,,,48254635.0,ns,7
Classes,,,,,48431736.0,ns,7
Classes,,,,,46798425.0,ns,7
Classes,,,,,46745925.0,ns,7
Classes,,,,,46687024.0,ns,7
Classes,,,,,46078621.0,ns,7
Classes,,,,,45818518.0,ns,7
Classes,,,,,48036934.0,ns,7
Classes,,,,,48728938.0,ns,7
Classes,,,,,47265628.0,ns,7
Classes,,,,,46812326.0,ns,7
Classes,,,,,47965433.0,ns,7
Classes,,,,,47838232.0,ns,7
Classes,,,,,46406922.0,ns,7
Classes,,,,,50504151.0,ns,7
Classes,,,,,50356246.0,ns,7
Classes,,,,,51138751.0,ns,7
Classes,,,,,50174245.0,ns,7
Classes,,,,,49239438.0,ns,7
Classes,,,,,50683948.0,ns,7
Classes,,,,,50290546.0,ns,7
Classes,,,,,51274452.0,ns,7
Classes,,,,,51989957.0,ns,7
Classes,,,,,50326246.0,ns,7
Classes,,,,,49996543.0,ns,7
Classes,,,,,50015844.0,ns,7
Classes,,,,,50011743.0,ns,7
Classes,,,,,51487054.0,ns,7
Classes,,,,,49367639.0,ns,7
Classes,,,,,50385046.0,ns,7
Classes,,,,,49470740.0,ns,7
Classes,,,,,50911250.0,ns,7
Classes,,,,,51762756.0,ns,7
Classes,,,,,51445853.0,ns,7
Classes,,,,,51272652.0,ns,7
Classes,,,,,50764649.0,ns,7
Classes,,,,,50368946.0,ns,7
Classes,,,,,51041750.0,ns,7
Classes,,,,,48805335.0,ns,7
Classes,,,,,49975843.0,ns,7
Classes,,,,,50576347.0,ns,7
Classes,,,,,50137545.0,ns,7
Classes,,,,,48751535.0,ns,7
Classes,,,,,49120637.0,ns,7
